ID	Argot Target	MARC tag	Ind 1	Ind 2	FieldConstraint	Subfield	Type	Instructions	Input	Output	Notes
1	.	.	.	.	.	3	Pattern	"trim -> capitalize first letter -> append "" -- """	"""$3abstracts"""	"""Abstracts -- """	.
2	.	.	.	.	.	4	Pattern	"expand to text label using http://id.loc.gov/vocabulary/relators.html -> lowercase -> prepend "", "" -> (in fields containing $4, after expansion, replace ""., "" with "", "") -> (in fields containing $4, after expansion, replace ""-, "" with ""- "")"	"""$4dnr"""	""", donor"""	.
3	.	.	.	.	.	i	Pattern	"trim -> delete ""(work)"", ""(expression)"", ""(manifestation)"", ""(item)"" -> capitalize first letter -> append "":"" if not already present"	"""$iContainer of (expression):"", ""$isequel to"""	"""Container of:"", ""Sequel to:"""	.
4	material_details	347	.	.	.	abcdef	Subfield-to-property	"for each sf value listed -> trim -> concat all in order, sep by "", "" -> prepend label from 347_sf_labels -> If $3 in field, prepend it -> output property"	$3abstracts$atext file$bPDF$bHTML$c1.2 MB$c342 KB	"""Abstracts -- File type: text file"", ""Abstracts -- Encoding format: PDF, HTML"", ""Abstracts -- File size: 1.2 MB, 342 KB"""	.
5	title:analytical	700	.	2	.	f(g)hklmnoprstv	Field-to-property	"each matching sf in field: trim -> $g: only if after $t -> concat all in record order, sep by "" "" "	"""12$aHindemith, Paul,$d1895-1963.$tNobilissima visione.$pMeditation;$oarr.$f1977."", ""12$aFerlinghetti, Lawrence.$tWhistler's daughter.$gDrawing: charcoal on paper, 1994."", ""12$iFacsimile of:$aFerrini, Vincent,$d1913-2007.$tTidal wave : poems of the great strikes.$f1945$g(New York : Great-Concord Publishers)"""	"""Nobilissima visione. Meditation; arr. 1977."", ""Whistler's daughter. Drawing: charcoal on paper, 1994."", ""Tidal wave : poems of the great strikes. 1945 (New York : Great-Concord Publishers)"""	.
6	title:analytical	740	.	2	.	ahnp	Field-to-property	"each matching sf in field: trim -> concat all in record order, sep by "" "" -> remove {Ind 1} characters from beginning of string -> output property"	"""42 $aThe Yankee Doodle boy$h[Sound recording]"""	"""Yankee Doodle boy [Sound recording]"""	.
7	notes:additional	521	.	.	.	ab3	Field-to-property	"each matching sf in field: trim -> separate multiple $a with "", "" -> to $b, prepend "" (source: "", append "")"" ->  if $3, apply general $3 transformation and prepend result to whole property -> output property"	"""3_ $aOlder adults$ayounger persons with disabilities.$bSomeone$3Book 2"""	"""Book 2 -- Audience characteristics: Older adults, younger persons with disabilities. (source: Someone)"""	.
8	authors:directors:search	700	.	.	$4=drt || $e=director	abcd(g)jqu	Field-to-property	"each matching sf in field: trim -> $g, only if (a) there is no $t; OR (b) it precedes $t in field -> concat all in record order, sep by "" "" "	"""1_$aCoppola, Sofia,$d1971-$4drt"""	"""Coppola, Sofia, 1971-"""	.
9	authors:directors:display	700	.	.	$4=drt || $e=director	abcd(g)jqu3	Field-to-property	"each matching sf in field: trim -> $g, only if (a) there is no $t; OR (b) it precedes $t in field -> if $3, apply general $3 transformation and prepend result to whole property -> concat all in record order, sep by "" "" "	"""1_$3disc 1$aCoppola, Sofia,$d1971-$4drt"""	"""Disc 1 -- Coppola, Sofia, 1971-"""	.
10	authors:other:search	700	.	[^2]	!$t	abcd(g)jqu	Field-to-property	"each matching sf in field: trim -> $g, only if (a) there is no $t; OR (b) it precedes $t in field -> concat all in record order, sep by "" "" "	"""1_$aRosny, Léon de,$d1837-1914.$4pbd$31860.$0(FrPBN)11922640"", ""1_$aAndré,|gheirs of."""	"""Rosny, Léon de, 1837-1914."", ""André, heirs of."""	.
