Argot field	source data format	provisional?	institution	element/field	subelement/field(s)	constraints	processing_type	processing instructions	notes	mapping_id
subject_chronological_facet	MARC	n	standard	600	y	i2=0 OR (i2=7 AND $2=lcsh)	subelement_to_value	.	.	43
subject_chronological_facet	MARC	n	standard	610	y	i2=0 OR (i2=7 AND $2=lcsh)	subelement_to_value	.	.	44
subject_chronological_facet	MARC	n	standard	611	y	i2=0 OR (i2=7 AND $2=lcsh)	subelement_to_value	.	.	45
subject_chronological_facet	MARC	n	standard	630	y	i2=0 OR (i2=7 AND $2=lcsh)	subelement_to_value	.	.	46
subject_chronological_facet	MARC	y	standard	648	a	i2=0 OR (i2=7 AND $2=~/lcsh|fast/)	subelement_to_value	.	"Need PO approval to include FAST terms -- seems they will be used much more than LCSH ever will in this field. On 2017-08-16, UNC has 33302 instances of FAST terms used here and 0 LCSH terms used in this field.;;;Verify with other institutions that this mapping works with this field for them."	47
subject_chronological_facet	MARC	n	standard	650	y	i2=0 OR (i2=7 AND $2=lcsh)	subelement_to_value	.	.	48
subject_chronological_facet	MARC	n	standard	651	y	i2=0 OR (i2=7 AND $2=lcsh)	subelement_to_value	.	.	49
subject_chronological_facet	MARC	n	standard	655	y	i2=0 OR (i2=7 AND $2=lcsh)	subelement_to_value	.	.	50
subject_genre_facet	MARC	n	standard	006	17	LDR/06 = a AND LDR/07 =~ [acdm] AND 006/00 =~ [at]	subelement_to_value	"if =~ [abcd], value = Biography"	. 	36
subject_genre_facet	MARC	n	standard	006	16	LDR/06 = a AND LDR/07 =~ [acdm] AND 006/00 =~ [at]	subelement_to_value	"map a value from 008_literary_form.json if there is a match. If there is no match, don't populate"	.	35
subject_genre_facet	MARC	n	standard	008	34	LDR/06 = a AND LDR/07 =~ [acdm]	subelement_to_value	"if =~ [abcd], value = Biography"	. 	34
subject_genre_facet	MARC	n	standard	008	33	LDR/06 = a AND LDR/07 =~ [acdm]	subelement_to_value	"map a value from 008_literary_form.json if there is a match. If there is no match, don't populate"	.	33
subject_genre_facet	MARC	n	standard	600	v	i2=0 OR (i2=7 AND $2=lcsh)	subelement_to_value	.	.	2
subject_genre_facet	MARC	n	standard	610	v	i2=0 OR (i2=7 AND $2=lcsh)	subelement_to_value	.	.	4
subject_genre_facet	MARC	n	standard	611	v	i2=0 OR (i2=7 AND $2=lcsh)	subelement_to_value	.	.	6
subject_genre_facet	MARC	n	standard	630	v	i2=0 OR (i2=7 AND $2=lcsh)	subelement_to_value	.	.	8
subject_genre_facet	MARC	y	standard	647	v	i2=0 OR (i2=7 AND $2=lcsh)	subelement_to_value	.	UNC doesn't have this field in our catalog at all yet. It was added to MARC in 2016-11 and probably hasn't been implemented by OCLC yet. We can hold off on including it.	10
subject_genre_facet	MARC	y	standard	648	v	i2=0 OR (i2=7 AND $2=lcsh)	subelement_to_value	.	UNC doesn't have any occurrences of this subfield (regardless of term source)	12
subject_genre_facet	MARC	n	standard	650	v	i2=0 OR (i2=7 AND $2=lcsh)	subelement_to_value	.	.	14
subject_genre_facet	MARC	n	standard	651	v	i2=0 OR (i2=7 AND $2=lcsh)	subelement_to_value	.	.	16
subject_genre_facet	MARC	n	standard	655	v	i2=0 OR (i2=7 AND $2=lcsh)	subelement_to_value	.	.	20
subject_genre_facet	MARC	y	standard	655	ax	i2=0 OR (i2=7 AND $2=lcsh)	concat_subelements	"Separate subelements with ""--"", not "" """	Need to consult with metadata experts at other institutions to verify this is the best way to handle $x;;;Need PO approval to include non-LCSH vocabularies	18
subject_genre_facet	MARC	y	standard	655	ax	i2=7 AND $2=lcgft	concat_subelements	"Separate subelements with ""--"", not "" """	Need to consult with metadata experts at other institutions to verify this is the best way to handle $x;;;Need PO approval to include non-LCSH vocabularies: Library of Congress genre/form terms for library and archival materials -- long history of use in our records	22
subject_genre_facet	MARC	y	standard	655	v	i2=7 AND $2=lcgft	subelement_to_value	.	Need PO approval to include non-LCSH vocabularies: Library of Congress genre/form terms for library and archival materials -- long history of use in our records	24
subject_genre_facet	MARC	y	standard	655	ax	i2=7 AND $2=rbbin	concat_subelements	"Separate subelements with ""--"", not "" """	"Need PO approval to include non-LCSH vocabularies: Binding terms: a thesaurus for use in rare book and special collections cataloguing (Chicago: Association of College and Research Libraries, ALA) -- Important for rare/special library materials -- 6064 headings in UNC cat on 2017-08-16"	26
subject_genre_facet	MARC	y	standard	655	v	i2=7 AND $2=rbbin	subelement_to_value	.	"Need PO approval to include non-LCSH vocabularies: Binding terms: a thesaurus for use in rare book and special collections cataloguing (Chicago: Association of College and Research Libraries, ALA) -- Important for rare/special library materials -- 6064 headings in UNC cat on 2017-08-16"	28
